,name,city,country,latitude,longitude,starbucks,starbucks_lat,starbucks_lon,airport,air_lat,air_lon
172,Apture,San Francisco,USA,37.566042,-122.322954,Starbucks,37.562897,-122.323927,San Francisco International Airport,37.6213129,-122.3789554
173,MediaScrape,Montreal,CAN,45.545447,-73.639076,Starbucks,45.5431848,-73.63995249999999,Montréal-Pierre Elliott Trudeau International Airport,45.46568509999999,-73.7454814
174,InMobi,San Francisco,USA,37.4465496,-122.1709208,Starbucks,37.443643,-122.171738,San Francisco International Airport,37.6213129,-122.3789554
175,InMobi,Singapore,SGP,1.284082,103.851942,Starbucks,1.2842759,103.8520723,Singapore Changi Airport,1.3644202,103.9915308
176,TeachStreet,Seattle,USA,47.6171788,-122.3370801,Starbucks,47.615675,-122.336894,Seattle-Tacoma International Airport,47.4502499,-122.3088165
177,Serious Business,San Francisco,USA,37.7893215,-122.4013624,Starbucks,37.788673,-122.400874,San Francisco International Airport,37.6213129,-122.3789554
178,KnowledgeTree,Raleigh,USA,35.786975,-78.647003,Starbucks,35.788415,-78.64783299999999,Raleigh-Durham International Airport,35.88007899999999,-78.7879963
179,Center'd,Menlo Park,USA,37.452992,-122.185098,Starbucks,37.452214,-122.183867,San Francisco International Airport,37.6213129,-122.3789554
180,Pixsta,London,GBR,51.51819,-0.208979,Starbucks,51.5168329,-0.2058693,Heathrow Airport,51.4700223,-0.4542955
181,GodTube,Plano,USA,33.075067,-96.823962,Starbucks,33.074283,-96.82221000000001,Dallas/Fort Worth International Airport,32.8998091,-97.0403352
182,Yoono,San Francisco,USA,37.787204,-122.397884,Starbucks,37.789545,-122.397592,San Francisco International Airport,37.6213129,-122.3789554
183,OVGuide,Los Angeles,USA,34.052187,-118.243425,Starbucks,34.050984,-118.242338,Los Angeles International Airport,33.9415889,-118.40853
184,EatLime,San Francisco,USA,37.7749295,-122.4194155,Starbucks,37.7770595,-122.417347,San Francisco International Airport,37.6213129,-122.3789554
185,Tyfone,Portland,USA,45.5105,-122.674995,Starbucks,45.513219,-122.675386,Portland International Airport,45.58976939999999,-122.5950942
186,TuneUp,San Francisco,USA,37.7654195,-122.4119381,Starbucks,37.7629128,-122.4104227,San Francisco International Airport,37.6213129,-122.3789554
187,Stitcher,San Francisco,USA,37.775196,-122.419204,Starbucks,37.7770595,-122.417347,San Francisco International Airport,37.6213129,-122.3789554
188,TerraPass,San Francisco,USA,37.787445,-122.397847,Starbucks,37.789545,-122.397592,San Francisco International Airport,37.6213129,-122.3789554
189,Sometrics,El Segundo,USA,34.048857,-118.251343,Starbucks,34.048976,-118.251847,Los Angeles International Airport,33.9415889,-118.40853
190,Transpera,San Francisco,USA,37.785792,-122.405081,Starbucks,37.786139,-122.405723,San Francisco International Airport,37.6213129,-122.3789554
191,Fliqz,Emeryville,USA,37.848641,-122.289498,Starbucks,37.846608,-122.291652,Oakland International Airport,37.7125689,-122.2197428
192,Votigo,Boulder,USA,37.8919079,-122.1192743,Starbucks,37.891698,-122.120063,Oakland International Airport,37.7125689,-122.2197428
